Municipios,Año,Algodón a,Algodón b,Arroz a,Arroz,Frijol a,Frijol b,Maiz Tecnificado a,Maiz Tecnificado b,Maiz Tradicional a,Maiz Tradicional b,Sorgo a,Sorgo b,Soya a,Soya b,Tabaco a,Tabaco b
Yotoco,2012-01-01,0.0,,0.0,0.0,1.5,2.5,1.5,4.0,1.6,1.8,0.0,0.0,0.0,0.0,0.0,2.1
Yumbo,2012-01-01,0.0,0.0,0.0,0.0,1.0,1.0,6.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0
Zarzal,2012-01-01,0.0,0.0,5.0,5.0,0.0,1.0,4.0,4.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0
Cali,2011-01-01,0.0,,0.0,0.0,0.9,0.9,0.0,0.0,1.75,0.9,0.0,0.0,0.0,0.0,0.0,0.0
AlcalÃ¡,2011-01-01,0.0,,0.0,0.0,0.5,0.5,0.0,0.0,1.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0
Andalucia,2011-01-01,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.8,0.0,0.0,0.0,0.0,0.0,0.0
Ansermanuevo,2011-01-01,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0
Argelia,2011-01-01,0.0,,0.0,0.0,2.65,1.9,6.8,0.0,3.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bolivar,2011-01-01,0.0,,0.0,0.0,0.8,0.711111111111111,5.0,5.0,1.3,1.21,0.0,5.0,0.0,0.0,2.5,2.5
Buenaventura,2011-01-01,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0
Buga,2011-01-01,4.5,,0.0,0.0,1.0,1.1,5.0,5.0,2.0,2.0,4.5,5.5,2.0,2.3,0.0,0.0
Bugalagrande,2011-01-01,0.0,,0.0,0.0,1.0,1.0,5.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0
Caicedonia,2011-01-01,0.0,,0.0,0.0,0.4,0.4,6.0,6.0,1.2,1.2,0.0,0.0,2.2,2.2,0.0,0.0
Calima DariÃ©n,2011-01-01,0.0,,0.0,0.0,0.34,0.34,0.0,0.0,1.36,1.36,0.0,0.0,0.0,0.0,2.0,2.0
Candelaria,2011-01-01,0.0,,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cartago,2011-01-01,0.0,,0.0,6.0,0.7,0.7,5.0,5.3,1.5,1.5,0.0,0.0,1.8,2.0,2.0,2.0
Dagua,2011-01-01,0.0,,0.0,0.0,0.8,0.8,0.0,0.0,1.7,1.7,0.0,0.0,0.0,0.0,0.0,0.0
El Aguila,2011-01-01,0.0,,0.0,0.0,0.88,0.8,0.0,0.0,1.33,1.43,0.0,0.0,0.0,0.0,0.0,0.0
El Cairo,2011-01-01,0.0,,0.0,0.0,1.1,1.1,0.0,0.0,2.3,1.575,0.0,0.0,0.0,0.0,0.0,0.0
El Cerrito,2011-01-01,0.0,,0.0,0.0,1.27,0.625,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El Dovio,2011-01-01,0.0,,0.0,0.0,0.411764705882353,0.4,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Florida,2011-01-01,0.0,,0.0,0.0,1.5,1.5,5.0,5.0,1.6,1.6,6.95,6.5,0.0,0.0,3.0,3.0
Ginebra,2011-01-01,0.0,,0.0,0.0,1.8,0.217142857142857,5.7,6.6,3.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0
GuacarÃ­,2011-01-01,2.0,,0.0,0.0,2.0,2.0,4.0,4.0,2.0,1.3,0.0,0.0,3.0,0.0,0.0,0.0
JamundÃ­,2011-01-01,0.0,,7.5,9.0,2.5,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
La Cumbre,2011-01-01,0.0,,0.0,0.0,1.09,1.09,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
La UniÃ³n,2011-01-01,0.0,,0.0,0.0,0.7,0.7,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,2.6
La Victoria,2011-01-01,0.0,,0.0,0.0,1.0,2.0,6.0,6.0,2.0,1.0,5.5,5.5,2.8,2.8,0.0,0.0
Obando,2011-01-01,3.2,,0.0,0.0,0.76,0.76,7.4,7.4,1.5,1.5,5.2,5.2,2.9,2.9,0.0,0.0
Palmira,2011-01-01,0.0,,0.0,0.0,0.8,0.8,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Pradera,2011-01-01,0.0,,0.0,0.0,0.8,0.0,5.0,0.0,2.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Restrepo,2011-01-01,0.0,,0.0,0.0,0.730769230769231,0.721379310344828,0.0,0.0,1.2,1.0,0.0,0.0,0.0,0.0,1.9,0.0
RiofrÃ­o,2011-01-01,0.0,,0.0,0.0,0.783333333333333,0.85,6.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0
Roldanillo,2011-01-01,0.0,,6.0,6.0,0.5,0.8,6.0,6.0,1.9,2.1,0.0,0.0,2.2,0.0,2.6,2.6
San Pedro,2011-01-01,4.1,,0.0,0.0,0.75,0.75,5.5,5.5,1.2,1.2,4.5,4.5,3.0,3.0,0.0,0.0
Sevilla,2011-01-01,0.0,,0.0,0.0,1.65,1.65,5.0,5.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0
Toro,2011-01-01,0.0,,0.0,0.0,0.8,0.8,3.7,3.7,0.0,0.0,3.5,3.5,3.5,3.5,0.0,0.0
Trujillo,2011-01-01,0.0,,0.0,0.0,1.0,1.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TuluÃ¡,2011-01-01,0.0,,0.0,0.0,1.2,1.2,6.0,6.0,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0
Ulloa,2011-01-01,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,1.25,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Versalles,2011-01-01,0.0,,0.0,0.0,0.591836734693878,0.866666666666667,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Vijes,2011-01-01,0.0,,0.0,0.0,0.636,0.796774193548387,6.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0
Yotoco,2011-01-01,0.0,,0.0,0.0,1.5,1.5,5.25,5.25,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0
Zarzal,2011-01-01,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,2.0,2.0,0.0,0.0
AlcalÃ¡,2010-01-01,,,,,1.0,1.0,,,2.0,2.0,,,,,,
Andalucia,2010-01-01,4.7,,,,,,,,3.5,3.5,,,,,,
Argelia,2010-01-01,,,,,2.65,1.9,6.8,,3.95,,,,,,,
Buenaventura,2010-01-01,,,,,,,,,7.0,7.0,,,,,,
Bugalagrande,2010-01-01,4.7,,,,0.9,0.9,5.0,5.0,3.0,3.0,,,,,2.0,2.0
Caicedonia,2010-01-01,,,,,0.4,0.4,6.0,6.0,2.0,2.0,,,2.2,2.2,,
Calima DariÃ©n,2010-01-01,,,,,0.34,0.34,,,1.36,1.36,,,,,,
Candelaria,2010-01-01,,,,,,,8.0,8.0,,,,,,,,
Dagua,2010-01-01,,,,,0.8,0.8,,,1.7,1.7,,,,,,
El Aguila,2010-01-01,,,,,0.88,0.8,,,1.33,1.43,,,,,,
El Cairo,2010-01-01,,,,,1.21,1.21,,,2.27,2.27,,,,,,
El Cerrito,2010-01-01,4.5,,,,2.1,2.5,5.0,,,,,,,,,
El Dovio,2010-01-01,,,,,0.4,0.4,,,4.0,4.0,,,,,,
Florida,2010-01-01,,,,,1.5,1.5,5.0,5.0,1.6,5.0,12.0,12.0,,,3.0,3.0
Ginebra,2010-01-01,,,,,1.0,1.1,,,2.6,2.65,,,,,,
GuacarÃ­,2010-01-01,2.0,,,,2.0,2.0,4.0,4.0,2.0,1.3,,,3.0,,,
JamundÃ­,2010-01-01,,,8.5,9.0,3.0,3.0,,,3.0,3.0,4.0,,1.8,,,
La Cumbre,2010-01-01,,,,,1.1,1.0,,,1.9,18.825,,,,,,
La UniÃ³n,2010-01-01,4.8,,,,,,5.8,5.8,,,6.0,6.0,2.5,2.5,2.6,2.6
La Victoria,2010-01-01,,,,,1.0,1.0,6.0,6.0,2.0,2.0,5.5,5.5,2.8,,,2.5
Obando,2010-01-01,4.7,,,,0.76,0.76,7.4,7.4,3.0,3.0,5.2,5.2,2.9,2.9,,
Palmira,2010-01-01,4.0,,,,0.8,0.8,,,2.0,2.0,,,,,,
Pradera,2010-01-01,,,,,0.8,0.8,5.0,5.0,2.2,2.2,,,,,,
RiofrÃ­o,2010-01-01,,,,,0.783333333333333,0.85,6.0,,,2.5,,,,,,
Roldanillo,2010-01-01,,,6.0,6.0,0.7,0.7,6.0,6.0,2.1,2.1,4.0,4.0,2.44,2.44,2.6,2.6
San Pedro,2010-01-01,4.1,,,,0.75,0.75,5.5,5.5,1.2,1.2,4.5,4.5,3.0,3.0,,
Sevilla,2010-01-01,,,,,2.0,1.0,,,1.5,1.5,,,,,,
Toro,2010-01-01,,,,,0.8,0.8,3.7,3.7,,,3.5,3.5,3.5,3.5,,
TuluÃ¡,2010-01-01,4.0,,,,1.2,1.2,6.0,6.0,3.5,3.5,,,,,,
Ulloa,2010-01-01,,,,,0.2,,2.0,,1.2,,,,,,,
Versalles,2010-01-01,,,,,0.858823529411765,0.942857142857143,,,1.2,1.2,,,,,,
Vijes,2010-01-01,,,,,0.9,0.9,6.0,6.0,3.0,3.0,,,,,,
Yotoco,2010-01-01,,,,,1.0,0.85,9.5,13.0,4.7,4.5,,,,,,
Zarzal,2010-01-01,,,,,,,,,3.0,3.0,3.0,3.0,2.0,2.0,,
Cali,2009-01-01,0.0,0.0,0.0,,,0.86,3.0,,2.75,,0.0,0.0,0.0,0.0,0.0,0.0
AlcalÃ¡,2009-01-01,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.8,1.8,0.0,0.0,0.0,0.0,0.0,0.0
Andalucia,2009-01-01,,0.0,0.0,0.0,,,,3.5,3.5,,,,,,0.0,0.0
Ansermanuevo,2009-01-01,0.0,0.0,9.0,8.0,2.55,2.17,6.8,4.0,4.56,1.79,0.0,0.0,0.0,0.0,0.0,0.0
Argelia,2009-01-01,0.0,0.0,0.0,0.0,2.65,1.9,6.8,0.0,4.1,,0.0,0.0,0.0,0.0,0.0,0.0
Bolivar,2009-01-01,,0.0,0.0,0.0,0.8,0.76,5.0,5.0,1.3,1.34,5.0,5.0,2.0,2.0,2.5,2.5
Buenaventura,2009-01-01,0.0,0.0,,,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Buga,2009-01-01,4.5,,6.0,6.0,0.57,0.88,5.5,5.5,1.46,1.49,5.0,5.0,2.8,2.5,,
Bugalagrande,2009-01-01,,0.0,0.0,0.0,1.0,1.0,5.0,5.0,3.0,3.0,0.0,0.0,0.0,,0.0,0.0
Caicedonia,2009-01-01,0.0,0.0,0.0,0.0,0.3,0.3,6.0,6.0,2.0,2.0,0.0,0.0,2.2,2.2,0.0,0.0
Calima DariÃ©n,2009-01-01,0.0,0.0,0.0,0.0,0.34,0.34,0.0,0.0,1.36,1.36,0.0,0.0,0.0,0.0,0.0,0.0
Candelaria,2009-01-01,0.0,0.0,0.0,0.0,0.0,0.0,9.68,9.67,0.0,0.0,7.93,7.0,0.0,0.0,0.0,0.0
Cartago,2009-01-01,0.0,0.0,0.0,0.0,7.0,0.7,6.46,6.57,1.5,1.5,0.0,,1.9,1.9,0.0,0.0
Dagua,2009-01-01,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.0,1.7,1.7,0.0,0.0,0.0,0.0,0.0,0.0
El Aguila,2009-01-01,0.0,0.0,0.0,0.0,0.88,0.8,0.0,0.0,1.33,1.43,0.0,0.0,0.0,0.0,0.0,0.0
El Cairo,2009-01-01,0.0,0.0,0.0,0.0,1.21,1.21,0.0,0.0,2.27,2.27,0.0,0.0,0.0,0.0,0.0,0.0
El Cerrito,2009-01-01,0.0,0.0,0.0,0.0,1.3,1.3,5.8,5.8,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
El Dovio,2009-01-01,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Florida,2009-01-01,0.0,0.0,0.0,0.0,0.8,0.75,6.0,5.85,2.2,2.1,12.6,12.5,,0.0,2.6,2.6
Ginebra,2009-01-01,0.0,0.0,,,1.0,1.1,,,2.6,2.65,,,,,0.0,0.0
GuacarÃ­,2009-01-01,,0.0,0.0,0.0,2.0,4.0,6.0,5.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0
JamundÃ­,2009-01-01,0.0,0.0,9.0,9.0,3.0,3.0,4.5,4.5,3.5,3.5,4.0,4.0,,2.5,0.0,0.0
La Cumbre,2009-01-01,0.0,0.0,0.0,0.0,1.034,1.03,0.0,0.0,1.87,1.88,0.0,0.0,0.0,0.0,0.0,0.0
La UniÃ³n,2009-01-01,,0.0,0.0,0.0,,,5.8,5.8,,,,6.0,2.5,2.4,2.6,2.6
La Victoria,2009-01-01,0.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,2.0,2.0,5.5,5.5,2.8,2.2,0.0,0.0
Obando,2009-01-01,0.0,0.0,0.0,0.0,0.75,0.75,7.38,7.38,3.0,3.0,5.3,5.3,2.7,2.7,,
Palmira,2009-01-01,0.0,0.0,0.0,0.0,0.8,0.8,,,2.0,2.0,,,,0.0,0.0,0.0
Pradera,2009-01-01,0.0,0.0,0.0,0.0,0.8,0.8,5.0,5.0,2.2,2.2,,,,,0.0,0.0
Restrepo,2009-01-01,0.0,0.0,0.0,0.0,0.7,0.73,0.0,0.0,1.15,1.18,0.0,0.0,0.0,0.0,0.0,0.0
RiofrÃ­o,2009-01-01,0.0,0.0,0.0,0.0,0.78,0.85,6.0,,,2.5,0.0,0.0,0.0,0.0,0.0,0.0
Roldanillo,2009-01-01,,0.0,6.0,6.0,0.7,0.7,6.0,6.0,2.19,2.1,4.0,4.0,2.44,2.44,2.6,2.6
San Pedro,2009-01-01,0.0,0.0,0.0,0.0,0.75,0.57,5.5,5.5,1.2,1.2,4.5,4.5,1.5,1.5,0.0,0.0
Sevilla,2009-01-01,0.0,0.0,0.0,0.0,0.53,0.53,,,2.65,2.66,0.0,0.0,0.0,0.0,0.0,0.0
Toro,2009-01-01,0.0,0.0,0.0,0.0,0.8,0.8,3.7,3.7,0.0,0.0,3.5,3.5,3.5,3.5,1.4,1.4
Trujillo,2009-01-01,0.0,0.0,0.0,0.0,0.8,,4.52,3.0,0.77,,0.0,0.0,0.0,0.0,2.5,0.0
TuluÃ¡,2009-01-01,0.0,0.0,,,1.2,1.2,6.0,6.0,3.5,3.5,,,0.0,0.0,0.0,0.0
Ulloa,2009-01-01,0.0,0.0,0.0,0.0,0.8,0.8,0.0,3.6,2.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0
Versalles,2009-01-01,0.0,0.0,0.0,0.0,0.9,0.73,0.0,0.0,1.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0
Vijes,2009-01-01,0.0,0.0,0.0,0.0,0.9,0.84,6.0,6.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Yotoco,2009-01-01,0.0,0.0,0.0,,1.1,1.1,10.0,10.0,2.9,3.5,0.0,0.0,0.0,0.0,0.0,0.0
Yumbo,2009-01-01,0.0,0.0,0.0,0.0,1.5,1.0,8.0,8.15,,,,5.0,0.0,0.0,0.0,0.0
Zarzal,2009-01-01,,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.5,3.5,2.0,2.0,0.0,0.0
Cali,2008-01-01,0.0,0.0,0.0,,2.0,2.0,2.0,2.0,2.8,1.75,0.0,0.0,0.0,0.0,0.0,0.0
AlcalÃ¡,2008-01-01,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0
Andalucia,2008-01-01,4.5,0.0,0.0,0.0,2.32,2.8,6.66,6.16,3.62,3.7,7.6,7.6,5.3,5.5,0.0,0.0
Ansermanuevo,2008-01-01,0.0,0.0,0.0,6.0,1.6,1.36,0.0,8.8,7.09,5.25,0.0,0.0,0.0,0.0,0.0,0.0
Argelia,2008-01-01,0.0,0.0,0.0,0.0,1.5,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Bolivar,2008-01-01,,0.0,0.0,0.0,0.8,0.8,5.0,5.0,1.33,1.31,0.0,5.0,0.0,0.0,,
Buenaventura,2008-01-01,0.0,0.0,,,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0
Buga,2008-01-01,,,6.0,6.0,1.0,0.9,5.0,4.5,2.0,1.0,4.5,3.5,2.1,2.0,,
Bugalagrande,2008-01-01,5.0,0.0,0.0,0.0,0.9,0.9,5.0,5.0,2.5,2.5,0.0,0.0,0.0,,0.0,0.0
Caicedonia,2008-01-01,0.0,0.0,0.0,0.0,0.3,0.3,6.0,4.0,2.0,2.0,0.0,0.0,2.2,2.2,0.0,0.0
Calima DariÃ©n,2008-01-01,0.0,0.0,0.0,0.0,0.34,0.34,0.0,0.0,1.36,1.36,0.0,0.0,0.0,0.0,0.0,0.0
Candelaria,2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,9.68,9.67,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0
Cartago,2008-01-01,0.0,0.0,0.0,0.0,1.0,1.0,8.14,8.68,1.14,1.14,0.0,,2.44,2.55,0.0,0.0
Dagua,2008-01-01,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.0,1.7,1.7,0.0,0.0,0.0,0.0,0.0,0.0
El Aguila,2008-01-01,0.0,0.0,0.0,0.0,0.88,0.8,0.0,0.0,0.83,0.67,0.0,0.0,0.0,0.0,0.0,0.0
El Cairo,2008-01-01,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.0,2.28,1.98,0.0,0.0,0.0,0.0,0.0,0.0
El Cerrito,2008-01-01,0.0,0.0,0.0,0.0,1.3,1.3,5.81,5.8,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0
El Dovio,2008-01-01,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Florida,2008-01-01,0.0,0.0,0.0,0.0,0.8,0.8,6.0,6.0,2.36,2.36,,,,0.0,2.0,2.0
Ginebra,2008-01-01,0.0,0.0,6.0,6.3,0.95,1.0,5.5,5.6,2.5,2.4,4.4,4.3,2.3,2.4,0.0,0.0
GuacarÃ­,2008-01-01,,0.0,0.0,0.0,2.0,2.0,3.0,5.0,3.0,3.0,6.0,6.0,0.0,0.0,0.0,0.0
JamundÃ­,2008-01-01,0.0,0.0,7.0,7.0,,1.0,5.5,5.49,3.5,3.5,4.0,3.5,1.2,1.2,0.0,0.0
La Cumbre,2008-01-01,0.0,0.0,0.0,0.0,1.064,1.03,0.0,0.0,2.04,1.94,0.0,0.0,0.0,0.0,0.0,0.0
La UniÃ³n,2008-01-01,4.8,0.0,0.0,0.0,0.65,0.57,5.94,5.89,1.6,1.6,6.12,5.94,2.5,2.5,2.55,2.64
La Victoria,2008-01-01,0.0,0.0,0.0,0.0,1.0,1.0,4.28,5.5,2.0,2.0,0.0,5.5,2.8,2.8,0.0,0.0
Obando,2008-01-01,0.0,0.0,0.0,0.0,0.67,0.67,6.6,6.6,2.57,2.57,5.2,5.2,2.4,2.4,2.25,
Palmira,2008-01-01,0.0,0.0,0.0,0.0,1.0,0.9,4.5,5.5,1.5,1.4,4.5,4.7,2.5,0.0,0.0,0.0
Pradera,2008-01-01,0.0,0.0,0.0,0.0,0.8,0.8,5.0,5.0,2.2,2.25,,,,,0.0,0.0
Restrepo,2008-01-01,0.0,0.0,0.0,0.0,0.71,0.73,0.0,0.0,1.34,1.18,0.0,0.0,0.0,0.0,0.0,0.0
RiofrÃ­o,2008-01-01,0.0,0.0,0.0,0.0,0.8,0.8,6.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Roldanillo,2008-01-01,5.0,0.0,6.0,6.0,0.7,0.7,7.0,6.0,1.7,2.19,4.0,4.0,2.3,0.0,3.0,0.0
San Pedro,2008-01-01,0.0,0.0,0.0,0.0,0.75,0.75,5.5,5.5,1.2,1.2,4.5,4.5,1.5,1.5,0.0,0.0
Sevilla,2008-01-01,0.0,0.0,0.0,0.0,0.6,0.57,6.5,,2.86,2.83,0.0,0.0,0.0,0.0,0.0,0.0
Toro,2008-01-01,0.0,0.0,0.0,0.0,0.8,0.8,39.0,3.9,0.0,0.0,3.5,3.5,0.0,0.0,1.4,1.4
Trujillo,2008-01-01,0.0,0.0,0.0,0.0,0.82,,4.0,3.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0
TuluÃ¡,2008-01-01,0.0,0.0,,,0.8,0.8,5.0,5.0,3.9,3.9,,,0.0,0.0,0.0,0.0
Ulloa,2008-01-01,0.0,0.0,0.0,0.0,,0.8,0.0,0.0,3.6,3.6,0.0,0.0,0.0,0.0,0.0,0.0
Versalles,2008-01-01,0.0,0.0,0.0,0.0,0.75,0.73,0.0,0.0,1.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0
Vijes,2008-01-01,0.0,0.0,0.0,0.0,0.8,0.7,2.0,1.75,1.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Yotoco,2008-01-01,0.0,0.0,0.0,,0.88,0.8,,,0.83,0.67,0.0,0.0,0.0,0.0,0.0,0.0
Yumbo,2008-01-01,0.0,0.0,0.0,0.0,2.0,2.0,5.0,6.5,3.5,3.0,5.0,,0.0,0.0,0.0,0.0
Zarzal,2008-01-01,5.5,0.0,0.0,0.0,0.0,0.0,3.5,3.5,0.0,0.0,3.5,3.5,2.0,2.0,0.0,0.0
Cali,2007-01-01,0.0,0.0,0.0,0.0,0.95,1.0,3.0,2.0,2.75,1.375,0.0,0.0,0.0,0.0,0.0,0.0
AlcalÃ¡,2007-01-01,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0
Andalucia,2007-01-01,7.8,0.0,0.0,0.0,0.85,0.82,6.5,6.3,2.4,2.5,6.5,6.3,3.7,3.9,0.0,0.0
Ansermanuevo,2007-01-01,0.0,0.0,0.0,0.0,0.6,0.5,0.0,0.0,1.4,1.5,0.0,0.0,0.0,0.0,0.0,0.0
Argelia,2007-01-01,0.0,0.0,0.0,0.0,1.2,1.1,0.0,0.0,1.42,2.4,0.0,0.0,0.0,0.0,0.0,0.0
Bolivar,2007-01-01,4.5,0.0,0.0,0.0,0.8,0.8,5.0,5.2,1.5,2.0,0.0,5.0,0.0,0.0,2.0,2.0
Buenaventura,2007-01-01,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Buga,2007-01-01,4.5,0.0,6.0,6.0,1.1,1.0,6.0,5.0,2.5,2.0,5.0,4.5,2.8,2.5,0.0,0.0
Bugalagrande,2007-01-01,0.0,0.0,0.0,0.0,0.9,0.9,5.0,5.0,2.5,2.5,0.0,0.0,0.0,2.5,0.0,0.0
Caicedonia,2007-01-01,0.0,0.0,0.0,0.0,0.3,0.4,6.0,6.0,2.0,2.0,0.0,0.0,2.2,2.3,0.0,0.0
Candelaria,2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,4.38,2.7,0.0,0.0,3.7,3.8,0.0,0.0,0.0,0.0
Cartago,2007-01-01,0.0,0.0,0.0,0.0,0.75,0.75,5.0,5.0,1.2,1.2,0.0,4.0,2.0,5.0,0.0,0.0
Dagua,2007-01-01,0.0,0.0,0.0,0.0,0.7,0.8,0.0,0.0,1.2,1.7,0.0,0.0,0.0,0.0,0.0,0.0
DariÃ©n,2007-01-01,0.0,0.0,0.0,0.0,1.36,1.36,0.0,0.0,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0
El Aguila,2007-01-01,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,1.2,2.8,0.0,0.0,0.0,0.0,0.0,0.0
El Cairo,2007-01-01,0.0,0.0,0.0,0.0,0.8,1.02,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
El Cerrito,2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,4.8,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El Dovio,2007-01-01,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,2.5,2.7,0.0,0.0,0.0,0.0,0.0,0.0
Florida,2007-01-01,0.0,0.0,0.0,0.0,0.9,0.85,6.0,5.8,1.9,2.0,4.2,4.5,2.0,0.0,2.5,2.0
Ginebra,2007-01-01,0.0,0.0,6.0,6.3,0.95,1.0,5.5,5.6,2.5,2.4,4.4,4.3,2.3,2.4,0.0,0.0
GuacarÃ­,2007-01-01,4.0,0.0,0.0,0.0,2.0,1.9,5.0,5.1,3.0,2.5,5.0,5.0,0.0,0.0,0.0,0.0
JamundÃ­,2007-01-01,0.0,0.0,6.5,6.5,0.5,0.6,6.0,6.0,5.0,4.5,4.5,4.5,1.8,1.9,0.0,0.0
La UniÃ³n,2007-01-01,,0.0,0.0,0.0,0.72,0.71,6.0,5.9,1.6,1.6,6.0,6.0,0.0,0.0,2.5,2.5
La Victoria,2007-01-01,0.0,0.0,0.0,0.0,1.2,1.1,4.5,4.6,2.5,2.8,0.0,4.5,2.1,0.0,0.0,0.0
Obando,2007-01-01,0.0,0.0,0.0,0.0,0.8,0.8,7.2,6.6,3.5,3.5,4.5,5.2,2.5,2.4,0.0,2.5
Palmira,2007-01-01,0.0,0.0,0.0,0.0,1.0,0.9,4.5,5.5,1.5,1.4,4.5,4.7,2.5,0.0,0.0,0.0
Pradera,2007-01-01,0.0,0.0,0.0,0.0,0.8,0.8,5.0,4.5,2.2,2.25,4.0,4.0,2.5,2.5,0.0,0.0
RiofrÃ­o,2007-01-01,0.0,0.0,0.0,0.0,0.85,0.9,5.2,5.2,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0
San Pedro,2007-01-01,0.0,0.0,0.0,0.0,0.75,0.8,5.5,5.6,1.2,1.2,4.5,4.5,1.5,1.6,0.0,0.0
Sevilla,2007-01-01,0.0,0.0,0.0,0.0,1.0,1.25,6.5,6.5,3.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0
Toro,2007-01-01,0.0,0.0,0.0,0.0,1.2,1.2,53.625,5.5,0.0,0.0,0.0,5.4,4.5,3.3,0.0,1.9
Trujillo,2007-01-01,0.0,0.0,0.0,0.0,0.84,0.82,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TuluÃ¡,2007-01-01,0.0,0.0,8.2,6.8,0.997297297297297,1.0,4.5,5.2,3.75,3.5,6.0,6.1,0.0,0.0,0.0,0.0
Ulloa,2007-01-01,0.0,0.0,0.0,0.0,0.7,0.8,0.0,0.0,1.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Versalles,2007-01-01,0.0,0.0,0.0,0.0,0.905,0.903960396039604,0.0,0.0,1.26,1.2,0.0,0.0,0.0,0.0,0.0,0.0
